# {"exp_name": "imagined-sound", "audio_controller": null, "response_device": null, "stim_rms": 0.01, "stim_fs": 44100, "stim_db": 65, "noise_db": 45, "noise_array": null, "output_dir": "logs", "window_size": [1200, 900], "screen_num": 1, "full_screen": false, "force_quit": ["lctrl", "rctrl"], "participant": "foo", "monitor": null, "trigger_controller": null, "session": "999", "check_rms": null, "suppress_resamp": false, "version": "dev", "safe_flipping": null, "n_channels": 2, "trigger_duration": 0.01, "joystick": false, "verbose": null, "date": "2025-09-29 13_51_25.535820", "file": "C:\\Users\\stim\\MEGLab_Code\\GitHub_Packages\\expytest_packages\\imagined-sound\\src\\imagined_sound\\run_experiment.py", "version_used": "2.0.0.dev0"}
timestamp	event	value
1.7901198000181466	flip	1.7901160000474192
1.8054500000434928	flip	1.8054475000244565
1.8205009000375867	flip	1.8204987000208348
1.9702971000224352	screen_text	Welcome to the experiment! Soon, you will hear some sounds, and will be asked to do different things in response to those sounds. Sometimes the sounds will be music, sometimes people speaking. The sounds are grouped into blocks; each block will have different instructions for what to do when each sound finishes. Press any key to see the instructions for the first block.
1.9703827000339516	flip	1.9702951000072062
5.7583912999834865	keypress	enter
5.769712100038305	flip	5.769709600019269
5.787308200029656	screen_text	In this block, you will hear sentences. After the sentence ends, there will be a brief delay and then the fixation circle will change color. If it turns {color (187, 85, 102, 255)}pink{color (255, 255, 255, 255)} press the response button as soon as you can. If it turns {color (221, 170, 51, 255)}yellow{color (255, 255, 255, 255)} do not respond, the next trial will start automatically. Press any key to continue.
5.787371100042947	flip	5.78730640001595
27.661998399998993	keypress	enter
27.669313400052488	flip	27.669311200035736
27.687072600005195	screen_text	Here we go!
27.687144100025762	flip	27.68706970004132
28.103140600025654	flip	28.10313820000738
28.86722470005043	trial_id	NWF03_01-07.wav
28.920280700025614	play	None
28.920423200004734	flip	28.920123500050977
30.368942600034643	stop	None
30.40360060002422	flip	30.403595600044355
31.987101800041273	flip	31.98709740000777
33.45301370002562	flip	33.4530109000043
33.453140900004655	stimulus began at 28.920123500050977. Response period began at 31.98709740000777, ended at 33.40812460001325 (1.4210272000054829 s duration). Button press at <NONE>	None
33.453313900041394	trial_ok	None
34.67407970002387	trial_id	NWF03_02-01.wav
34.720359200029634	play	None
34.72048820002237	flip	34.72022270003799
36.384164300048724	stop	None
36.420323300000746	flip	36.42031960003078
38.336934500024654	flip	38.336929200042505
39.80359090003185	flip	39.80358730000444
39.803766200027894	stimulus began at 34.72022270003799. Response period began at 38.336929200042505, ended at 39.75795800000196 (1.4210287999594584 s duration). Button press at <NONE>	None
39.803917500015814	trial_ok	None
41.02042190002976	trial_id	NWF03_02-06.wav
41.070318300044164	play	None
41.07044690003386	flip	41.07019380002748
42.67945759999566	stop	None
42.72014260001015	flip	42.72013880003942
44.53709280001931	flip	44.53708830004325
44.973724799987394	keypress	0
45.01992670004256	flip	45.01992310001515
45.02009830001043	stimulus began at 41.07019380002748. Response period began at 44.53708830004325, ended at 0.436636499944143 (-44.10045180009911 s duration). Button press at 0.436636499944143	None
45.02024100004928	trial_ok	None
46.28855890000705	trial_id	NWF03_03-02.wav
46.336425200046506	play	None
46.33652500004973	flip	46.33632010000292
48.41944330005208	stop	None
48.453860500012524	flip	48.453855800034944
50.82024640002055	flip	50.82024220004678
52.28611190000083	flip	52.28610920003848
52.28623349999543	stimulus began at 46.33632010000292. Response period began at 50.82024220004678, ended at 52.24124350002967 (1.4210012999828905 s duration). Button press at <NONE>	None
52.28641870000865	trial_ok	None
53.49204620003002	trial_id	NWF03_03-10.wav
